format=0 tracks=1 division=480

BA    2   CR       3/4   TR  0   CH  4   Channel volume 85
BA    2   CR       3/4   TR  0   CH  5   ST &B4 &0A &05
BA    2   CR       3/4   TR  0   CH  6   ST &B5 &0A &32
BA    2   CR       3/4   TR  0   CH  7   ST &B6 &0A &32
BA    2   CR       3/4   TR  0   CH  8   ST &B7 &0A &46
BA    2   CR       3/4   TR  0   CH 11   ST &BA &0A &5A
BA    2   CR       3/4   TR  0   CH 11   ST &BA &0B &4B
BA    2   CR       3/4   TR  0   CH 12   ST &BB &0A &50
BA    2   CR       3/4   TR  0   CH 14   ST &BD &0A &46
BA    2   CR   371/480   TR  0   CH  1   ST &B0 &0A &14
BA    2   CR   371/480   TR  0   CH  2   ST &B1 &0A &14
BA    2   CR   371/480   TR  0   CH  3   Channel volume 85
BA    2   CR   371/480   TR  0   CH  9   ST &B8 &0A &1E
BA    2   CR     25/32   TR  0   CH 13   ST &BC &0A &28
BA    2   CR     13/16   TR  0   CH  1   ST &B0 &5B &64
BA    2   CR     13/16   TR  0   CH  1   ST &B0 &0B &5D
BA    2   CR     13/16   TR  0   CH  2   ST &B1 &5B &64
