format=1 tracks=8 division=192

BA    6   CR       3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    6   CR       3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    6   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    6   CR         1   TR  2   CH  2   NT  A--           1/4   voff=0
BA    6   CR         1   TR  3   CH  3   NT  E-            1/4   voff=0
BA    6   CR         1   TR  4   CH  4   NT  E-            1/4   voff=0
BA    6   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    6   CR     1+1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    6   CR     1+1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    6   CR   1+23/48   TR  1   CH  1   ST &E0 &00 &44
BA    6   CR   1+23/48   TR  5   CH  5   ST &E4 &00 &44
BA    6   CR     1+1/2   TR  1   CH  1   NT  C'              1   voff=0
BA    6   CR     1+1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    6   CR     1+1/2   TR  3   CH  3   NT  G-            1/4   voff=0
BA    6   CR     1+1/2   TR  4   CH  4   NT  G-            1/4   voff=0
BA    6   CR     1+1/2   TR  5   CH  5   NT  C'              1   voff=0
BA    6   CR   1+25/48   TR  1   CH  1   ST &B0 &01 &02
BA    6   CR   1+25/48   TR  5   CH  5   ST &B4 &01 &02
BA    6   CR     1+3/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    6   CR     1+3/4   TR  3   CH  3   NT  E-            1/4   voff=0
BA    6   CR     1+3/4   TR  4   CH  4   NT  E-            1/4   voff=0
BA    6   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR     1+3/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    6   CR     1+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    6   CR         2   TR  2   CH  2   NT  A--           1/2   voff=0
BA    6   CR         2   TR  3   CH  3   NT  G-            3/4   voff=0
BA    6   CR         2   TR  4   CH  4   NT  G-            3/4   voff=0
BA    6   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    6   CR     2+1/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR     2+1/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR     2+1/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    6   CR     2+1/2   TR  1   CH  1   NT  B             1/2   voff=0
BA    6   CR     2+1/2   TR  1   CH  1   ST &E0 &00 &44
BA    6   CR     2+1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    6   CR     2+1/2   TR  5   CH  5   NT  B             1/2   voff=0
BA    6   CR     2+1/2   TR  5   CH  5   ST &E4 &00 &44
BA    6   CR     2+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    6   CR     2+3/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    6   CR     2+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    6   CR     2+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    6   CR     2+3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    6   CR     2+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    6   CR         3   TR  1   CH  1   NT  A             1/2   voff=0
BA    6   CR         3   TR  5   CH  5   NT  A             1/2   voff=0
BA    6   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    6   CR         3   TR  7   CH 10   NT  D--           1/4   voff=0
BA    6   CR         3   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    6   CR     3+1/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    6   CR     3+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    6   CR     3+1/2   TR  1   CH  1   NT  G             1/2   voff=0
BA    6   CR     3+1/2   TR  2   CH  2   NT  A--           1/2   voff=0
BA    6   CR     3+1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    6   CR     3+1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    6   CR     3+1/2   TR  5   CH  5   NT  G             1/2   voff=0
BA    6   CR     3+1/2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    6   CR     3+1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    6   CR     3+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    6   CR     3+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    6   CR     3+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0

BA    7   CR         0   TR  1   CH  1   NT  A               8   voff=0
BA    7   CR         0   TR  1   CH  1   ST &E0 &00 &02
BA    7   CR         0   TR  2   CH  2   NT  F#--          1/2   voff=0
BA    7   CR         0   TR  3   CH  3   NT  E-            1/4   voff=0
BA    7   CR         0   TR  4   CH  4   NT  E-            1/4   voff=0
BA    7   CR         0   TR  5   CH  5   NT  A               8   voff=0
BA    7   CR         0   TR  5   CH  5   ST &E4 &00 &02
BA    7   CR         0   TR  7   CH 10   NT  B---          1/4   voff=0
BA    7   CR      1/24   TR  1   CH  1   ST &E0 &00 &07
BA    7   CR      1/24   TR  5   CH  5   ST &E4 &00 &07
BA    7   CR      1/12   TR  1   CH  1   ST &E0 &00 &17
BA    7   CR      1/12   TR  5   CH  5   ST &E4 &00 &17
BA    7   CR       1/8   TR  1   CH  1   ST &E0 &00 &1F
BA    7   CR       1/8   TR  5   CH  5   ST &E4 &00 &1F
BA    7   CR       1/6   TR  1   CH  1   ST &E0 &00 &32
BA    7   CR       1/6   TR  5   CH  5   ST &E4 &00 &32
BA    7   CR      3/16   TR  1   CH  1   ST &E0 &00 &3F
BA    7   CR      3/16   TR  5   CH  5   ST &E4 &00 &3F
BA    7   CR      5/24   TR  1   CH  1   ST &E0 &00 &42
BA    7   CR      5/24   TR  5   CH  5   ST &E4 &00 &42
BA    7   CR       1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    7   CR       1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    7   CR       1/2   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR       1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    7   CR       1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    7   CR       1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    7   CR       3/4   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR       3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    7   CR       3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    7   CR       3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    7   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    7   CR         1   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR         1   TR  3   CH  3   NT  E-            1/4   voff=0
BA    7   CR         1   TR  4   CH  4   NT  E-            1/4   voff=0
BA    7   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    7   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    7   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    7   CR     1+1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    7   CR     1+1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    7   CR     1+1/2   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR     1+1/2   TR  3   CH  3   NT  G-            1/4   voff=0
BA    7   CR     1+1/2   TR  4   CH  4   NT  G-            1/4   voff=0
BA    7   CR     1+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    7   CR     1+3/4   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR     1+3/4   TR  3   CH  3   NT  E-            1/4   voff=0
BA    7   CR     1+3/4   TR  4   CH  4   NT  E-            1/4   voff=0
BA    7   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    7   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    7   CR     1+3/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    7   CR         2   TR  2   CH  2   NT  F#--          1/2   voff=0
BA    7   CR         2   TR  3   CH  3   NT  G-            3/4   voff=0
BA    7   CR         2   TR  4   CH  4   NT  G-            3/4   voff=0
BA    7   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    7   CR     2+1/2   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR     2+1/2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    7   CR     2+1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    7   CR     2+3/4   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR     2+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    7   CR     2+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    7   CR     2+3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    7   CR     2+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    7   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    7   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    7   CR         3   TR  7   CH 10   NT  D--           1/4   voff=0
BA    7   CR         3   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    7   CR     3+1/4   TR  2   CH  2   NT  F#--          1/4   voff=0
BA    7   CR     3+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    7   CR     3+1/2   TR  2   CH  2   NT  F#--          1/2   voff=0
BA    7   CR     3+1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    7   CR     3+1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    7   CR     3+1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    7   CR     3+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    7   CR     3+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    7   CR     3+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0

BA    8   CR         0   TR  1   CH  1   ST &B0 &01 &7F
BA    8   CR         0   TR  2   CH  2   NT  G--           1/2   voff=0
BA    8   CR         0   TR  3   CH  3   NT  E-            1/4   voff=0
BA    8   CR         0   TR  4   CH  4   NT  E-            1/4   voff=0
BA    8   CR         0   TR  5   CH  5   ST &B4 &01 &7F
BA    8   CR         0   TR  7   CH 10   NT  B---          1/4   voff=0
BA    8   CR       1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    8   CR       1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    8   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR       1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    8   CR       1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    8   CR       1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    8   CR       3/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR       3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    8   CR       3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    8   CR       3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    8   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    8   CR         1   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR         1   TR  3   CH  3   NT  E-            1/4   voff=0
BA    8   CR         1   TR  4   CH  4   NT  E-            1/4   voff=0
BA    8   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    8   CR     1+1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    8   CR     1+1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    8   CR     1+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR     1+1/2   TR  3   CH  3   NT  G-            1/4   voff=0
BA    8   CR     1+1/2   TR  4   CH  4   NT  G-            1/4   voff=0
BA    8   CR     1+3/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR     1+3/4   TR  3   CH  3   NT  E-            1/4   voff=0
BA    8   CR     1+3/4   TR  4   CH  4   NT  E-            1/4   voff=0
BA    8   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR     1+3/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    8   CR     1+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    8   CR         2   TR  2   CH  2   NT  G--           1/2   voff=0
BA    8   CR         2   TR  3   CH  3   NT  G-            3/4   voff=0
BA    8   CR         2   TR  4   CH  4   NT  G-            3/4   voff=0
BA    8   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    8   CR     2+1/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR     2+1/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR     2+1/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    8   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR     2+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    8   CR     2+3/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR     2+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    8   CR     2+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    8   CR     2+3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    8   CR     2+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    8   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    8   CR         3   TR  7   CH 10   NT  D--           1/4   voff=0
BA    8   CR         3   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    8   CR     3+1/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    8   CR     3+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    8   CR     3+1/2   TR  2   CH  2   NT  G--           1/2   voff=0
BA    8   CR     3+1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    8   CR     3+1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    8   CR     3+1/2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    8   CR     3+1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    8   CR     3+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    8   CR     3+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    8   CR     3+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0

BA    9   CR         0   TR  1   CH  1   ST &E0 &00 &42
BA    9   CR         0   TR  2   CH  2   NT  A--           1/2   voff=0
BA    9   CR         0   TR  3   CH  3   NT  E-            1/4   voff=0
BA    9   CR         0   TR  4   CH  4   NT  E-            1/4   voff=0
BA    9   CR         0   TR  5   CH  5   ST &E4 &00 &42
BA    9   CR         0   TR  7   CH 10   NT  B---          1/4   voff=0
BA    9   CR         0   TR  7   CH 10   NT  C#-           1/4   voff=0
BA    9   CR         0   TR  7   CH 10   NT  A-            1/4   voff=0
BA    9   CR      1/48   TR  1   CH  1   ST &B0 &01 &02
BA    9   CR      1/48   TR  5   CH  5   ST &B4 &01 &02
BA    9   CR       1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    9   CR       1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    9   CR       1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    9   CR       1/2   TR  3   CH  3   NT  E-            1/4   voff=0
BA    9   CR       1/2   TR  4   CH  4   NT  E-            1/4   voff=0
BA    9   CR       1/2   TR  7   CH 10   NT  Bb--          1/4   voff=0
BA    9   CR       3/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    9   CR       3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    9   CR       3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    9   CR       3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    9   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    9   CR         1   TR  1   CH  1   NT  E'              1   voff=0
BA    9   CR         1   TR  1   CH  1   ST &E0 &00 &02
BA    9   CR         1   TR  2   CH  2   NT  A--           1/4   voff=0
BA    9   CR         1   TR  3   CH  3   NT  E-            1/4   voff=0
BA    9   CR         1   TR  4   CH  4   NT  E-            1/4   voff=0
BA    9   CR         1   TR  5   CH  5   NT  E'              1   voff=0
BA    9   CR         1   TR  5   CH  5   ST &E4 &00 &02
BA    9   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    9   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    9   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    9   CR    1+1/16   TR  1   CH  1   ST &E0 &00 &07
BA    9   CR    1+1/16   TR  5   CH  5   ST &E4 &00 &07
BA    9   CR     1+1/8   TR  1   CH  1   ST &E0 &00 &12
BA    9   CR     1+1/8   TR  5   CH  5   ST &E4 &00 &12
BA    9   CR     1+1/6   TR  1   CH  1   ST &E0 &00 &22
BA    9   CR     1+1/6   TR  5   CH  5   ST &E4 &00 &22
BA    9   CR    1+5/24   TR  1   CH  1   ST &E0 &00 &34
BA    9   CR    1+5/24   TR  5   CH  5   ST &E4 &00 &34
BA    9   CR     1+1/4   TR  1   CH  1   ST &E0 &00 &42
BA    9   CR     1+1/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    9   CR     1+1/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    9   CR     1+1/4   TR  5   CH  5   ST &E4 &00 &42
BA    9   CR     1+1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    9   CR     1+1/2   TR  3   CH  3   NT  G-            1/4   voff=0
BA    9   CR     1+1/2   TR  4   CH  4   NT  G-            1/4   voff=0
BA    9   CR     1+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    9   CR     1+3/4   TR  2   CH  2   NT  A--           1/4   voff=0
BA    9   CR     1+3/4   TR  3   CH  3   NT  E-            1/4   voff=0
BA    9   CR     1+3/4   TR  4   CH  4   NT  E-            1/4   voff=0
BA    9   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    9   CR     1+3/4   TR  7   CH 10   NT  G---          1/4   voff=0
BA    9   CR     1+3/4   TR  7   CH 10   NT  D--           1/4   voff=0
BA    9   CR         2   TR  1   CH  1   NT  D'            1/2   voff=0
BA    9   CR         2   TR  2   CH  2   NT  A--           1/2   voff=0
BA    9   CR         2   TR  3   CH  3   NT  G-            3/4   voff=0
BA    9   CR         2   TR  4   CH  4   NT  G-            3/4   voff=0
BA    9   CR         2   TR  5   CH  5   NT  D'            1/2   voff=0
BA    9   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    9   CR    2+1/48   TR  1   CH  1   ST &E0 &00 &44
BA    9   CR    2+1/48   TR  5   CH  5   ST &E4 &00 &44
BA    9   CR     2+1/2   TR  1   CH  1   NT  C'              1   voff=0
BA    9   CR     2+1/2   TR  2   CH  2   NT  A--           1/4   voff=0
BA    9   CR     2+1/2   TR  5   CH  5   NT  C'              1   voff=0
BA    9   CR     2+1/2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    9   CR     2+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    9   CR     2+3/4   TR  2   CH  2   NT  G--           1/4   voff=0
BA    9   CR     2+3/4   TR  3   CH  3   NT  A-            1/4   voff=0
BA    9   CR     2+3/4   TR  4   CH  4   NT  A-            1/4   voff=0
BA    9   CR     2+3/4   TR  7   CH 10   NT  B---          1/4   voff=0
BA    9   CR     2+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    9   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    9   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    9   CR         3   TR  7   CH 10   NT  D--           1/4   voff=0
